MPO_AREA,MPO_FIPS,MPO_NAME,MSA_FIPS,MSA_NAME,COUNTY_FIPS,COUNTY_NAME,STATE_FIPS,STATE_NAME,STATE_LONG_NAME
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",63,Clayton,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",67,Cobb,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",89,DeKalb,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",97,Douglas,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",113,Fayette,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",117,Forsyth,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",121,Fulton,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",135,Gwinnett,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",151,Henry,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",247,Rockdale,13,GA,Georgia
Atlanta,ARC,Atalanta Regional Commission,12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",57,Cherokee,13,GA,Georgia
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",21,Bastrop,48,TX,Texas
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",53,Burnet,48,TX,Texas
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",55,Caldwell,48,TX,Texas
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",209,Hays,48,TX,Texas
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",453,Travis,48,TX,Texas
Austin,CAMPO,Capital Area Metropoltian Planning Organization,12420,"Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",491,Williamson,48,TX,Texas
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",3,Anne Arundel,24,MD,Maryland
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",5,Baltimore,24,MD,Maryland
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",13,Carroll,24,MD,Maryland
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",25,Harford,24,MD,Maryland
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",27,Howard,24,MD,Maryland
Baltimore,BMC,Baltimore Metropolitan Council,12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",35,Queen Anne's,24,MD,Maryland
Bay Area,MTC,Metropolitan Transportation Commission,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",1,Alameda,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",13,Contra Costa,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",41,Marin,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,34900,"Napa, CA (Metropolitan Statistical Area)",55,Napa,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",75,San Francisco,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",81,San Mateo,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",85,Santa Clara,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,46700,"Vallejo, CA (Metropolitan Statistical Area)",95,Solano,6,CA,California
Bay Area,MTC,Metropolitan Transportation Commission,42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",97,Sonoma,6,CA,California
Boston,MAPC,Metropolitan Area Planning Council,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",9,Essex,25,MA,Massachusetts
Boston,MAPC,Metropolitan Area Planning Council,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",17,Middlesex,25,MA,Massachusetts
Boston,MAPC,Metropolitan Area Planning Council,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",21,Norfolk,25,MA,Massachusetts
Boston,MAPC,Metropolitan Area Planning Council,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",23,Plymouth,25,MA,Massachusetts
Boston,MAPC,Metropolitan Area Planning Council,14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",25,Suffolk,25,MA,Massachusetts
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",97,Iredell,37,NC,North Carolina
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",119,Mecklenburg,37,NC,North Carolina
Charlotte,CRTPO,Charlotte Regional Transportation Planning Organization,16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",179,Union,37,NC,North Carolina
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",31,Cook,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",43,DuPage,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",89,Kane,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",93,Kendall,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",97,Lake,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",111,McHenry,17,IL,Illinois
Chicago,CMAP,Chicago Metropolitan Agency for Planning,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",197,Will,17,IL,Illinois
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",85,Collin,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",113,Dallas,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",121,Denton,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",139,Ellis,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",143,Erath,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",221,Hood,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",231,Hunt,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",251,Johnson,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",257,Kaufman,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",349,Navarro,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",363,Palo Pinto,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",367,Parker,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",397,Rockwall,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",425,Somervell,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",439,Tarrant,48,TX,Texas
Dallas,NCTCOG,North Central Texas Council of Governments,19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",497,Wise,48,TX,Texas
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",1,Adams,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",5,Arapahoe,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,14500,"Boulder, CO (Metropolitan Statistical Area)",13,Boulder,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",14,Broomfield,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",19,Clear Creek,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",31,Denver,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",35,Douglas,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",47,Gilpin,8,CO,Colorado
Denver,DRCOG,Denver Regional Council of Governments,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",59,Jefferson,8,CO,Colorado
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",93,Livingston,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",99,Macomb,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,33780,"Monroe, MI (Metropolitan Statistical Area)",115,Monroe,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",125,Oakland,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",147,St. Clair,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,11460,"Ann Arbor, MI (Metropolitan Statistical Area)",161,Washtenaw,26,MI,Michigan
Detroit,SEMCOG,Southeast Michigan Council of Governments,19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",163,Wayne,26,MI,Michigan
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",15,Austin,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",39,Brazoria,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",71,Chambers,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",89,Colorado,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",157,Fort Bend,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",167,Galveston,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",201,Harris,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",291,Liberty,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",321,Matagorda,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",339,Montgomery,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",471,Walker,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",473,Waller,48,TX,Texas
Houston,H-GAC,Houston-Galveston Area Council,26420,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",481,Wharton,48,TX,Texas
Los Angeles,SCAG,Southern California Association of Governments,20940,"El Centro, CA (Metropolitan Statistical Area)",25,Imperial,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",37,Los Angeles,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",59,Orange,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",65,Riverside,6,CA,California
Los Angeles,SCAG,Southern California Association of Governments,40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",71,San Bernardino,6,CA,California
