NTDID,AGENCY,CITY,STATE,UZA,MPO_AREA,MPO_FIPS,MPO_NAME
50118,Northeast Illinois Regional Commuter Railroad Corporation,CHICAGO,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50119,City of Detroit ,DETROIT,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50141,Detroit Transportation Corporation,Detroit,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50146,Madison County Transit District,PONTOON BEACH,IL,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments
50148,Blue Water Area Transportation Commission,PORT HURON,MI,"Port Huron, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50154,Metropolitan Council,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50155,Metro Mobility,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50158,University of Michigan Parking and Transportation Services,Ann Arbor,MI,"Ann Arbor, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50180,Livingston County Board of Commissioners,HOWELL,MI,"South Lyon-Howell, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50182,"Pace-Suburban Bus Division, ADA Paratransit Services",ARLINGTON HEIGHTS,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50190,City of Chicago Department of Transportation,Chicago,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50193,Enterprise Rideshare - Michigan,Farmington Hills,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50213,M-1 Rail,Detroit,MI,"Detroit, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
50515,University of Minnesota Transit,MINNEAPOLIS,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50516,City of Plymouth,PLYMOUTH,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50517,City of Maple Grove,OSSEO,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50518,SouthWest Transit,EDEN PRAIRIE,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50519,Minnesota Valley Transit Authority,BURNSVILLE,MN,"Minneapolis-St. Paul, MN-WI",Minneapolis,Met Council,Metropolitan Council
50521,Chicago Water Taxi (Wendella),Chicago,IL,"Chicago, IL-IN",Chicago,CMAP,Chicago Metropolitan Agency for Planning
50522,Lake Erie Transportation Commission,Monroe,MI,"Monroe, MI",Detroit,SEMCOG,Southeast Michigan Council of Governments
60007,Fort Worth Transportation Authority,Fort Worth,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60008,"Metropolitan Transit Authority of Harris County, Texas",HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60008,"Metropolitan Transit Authority of Harris County, Texas ",HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60011,VIA Metropolitan Transit,SAN ANTONIO,TX,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization
60015,City of Galveston ,GALVESTON,TX,"Galveston, TX",Houston,H-GAC,Houston-Galveston Area Council
60041,City of Arlington,ARLINGTON,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60048,Capital Metropolitan Transportation Authority,AUSTIN,TX,"Austin, TX",Austin,CAMPO,Capital Area Metropoltian Planning Organization
60056,Dallas Area Rapid Transit,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60068,City of Grand Prairie ,GRAND PRAIRIE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60070,City of Mesquite,MESQUITE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60082,The Gulf Coast Center,GALVESTON,TX,"Texas City, TX",Houston,H-GAC,Houston-Galveston Area Council
60084,"Ft.Worth - vRide, Inc.",Arlington,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60085,"Houston - VPSI, Inc.",Houston,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60092,ATC / Vancom,Dallas,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60101,Denton County Transportation Authority,LEWISVILLE,TX,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60103,"Fort Bend County, Texas",RICHMOND,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60108,Harris County,HOUSTON,TX,"Houston, TX",Houston,H-GAC,Houston-Galveston Area Council
60113,City of Cleburne,CLEBURNE,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60114,STAR Transit,Terrell,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60115,Public Transit Services,MINERAL WELLS,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60116,"SPAN, Incorporated",DENTON,TX,"Denton-Lewisville, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60130,Alamo Area Council of Governments,SAN ANTONIO,TX,"San Antonio, TX",San Antonio,AAMPO,Alamo Area Metropoltian Planning Organization
60133,McKinney Avenue Transit Authority,DALLAS,TX,"Dallas-Fort Worth-Arlington, TX",Dallas,NCTCOG,North Central Texas Council of Governments
60134,The Woodlands Township,THE WOODLANDS,TX,"Conroe-The Woodlands, TX",Houston,H-GAC,Houston-Galveston Area Council
60269,Texas State University,SAN MARCOS,TX,"San Marcos, TX",Austin,CAMPO,Capital Area Metropoltian Planning Organization
70006,Bi-State Development Agency of the Missouri-Illinois Metropolitan District,St. Louis,MO,"St. Louis, MO-IL",St Louis,EWG,East-West Gateway Council of Governments
80006,Denver Regional Transportation District,DENVER,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80108,Denver Regional Council of Governments,Denver,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80109,Denver Regional Council of Governments,DENVER,CO,"Denver-Aurora, CO",Denver,DRCOG,Denver Regional Council of Governments
80285,Via Mobility Services,BOULDER,CO,"Boulder, CO",Denver,DRCOG,Denver Regional Council of Governments
90003,San Francisco Bay Area Rapid Transit District,OAKLAND,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90008,City of Santa Monica,SANTA MONICA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90009,San Mateo County Transit District,SAN CARLOS,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90010,City of Torrance,TORRANCE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90013,Santa Clara Valley Transportation Authority,SAN JOSE,CA,"San Jose, CA",Bay Area,MTC,Metropolitan Transportation Commission
90014,Alameda-Contra Costa Transit District,OAKLAND,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90015,City and County of San Francisco,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90016,"Golden Gate Bridge, Highway and Transportation District",SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90017,City of Santa Rosa,SANTA ROSA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission
90019,Sacramento Regional Transit District,SACRAMENTO,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90022,City of Norwalk ,NORWALK,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90023,Long Beach Transit,LONG BEACH,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90024,City of La Mirada ,LA MIRADA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90026,San Diego Metropolitan Transit System,SAN DIEGO,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90028,City of Vallejo Transportation Program,Vallejo,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission
90029,Omnitrans,SAN BERNARDINO,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
90030,North County Transit District,OCEANSIDE,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90031,Riverside Transit Agency,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
90032,City of Phoenix Public Transit Department ,PHOENIX,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90034,City of Glendale ,GLENDALE,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90035,Gold Coast Transit District,OXNARD,CA,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments
90036,Orange County Transportation Authority,ORANGE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90039,City of Culver City,CULVER CITY,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90041,City of Montebello,MONTEBELLO,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90042,City of Gardena,Gardena,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90043,City of Commerce,COMMERCE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90044,City of Arcadia,ARCADIA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90050,City of Simi Valley,SIMI VALLEY,CA,"Simi Valley, CA",Los Angeles,SCAG,Southern California Association of Governments
90052,City of Corona,CORONA,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
90054,"San Diego Trolley, Inc.",San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90061,Yuba-Sutter Transit Authority,MARYSVILLE,CA,"Yuba City, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90078,Central Contra Costa Transit Authority,CONCORD,CA,"Concord, CA",Bay Area,MTC,Metropolitan Transportation Commission
90079,SunLine Transit Agency,THOUSAND PALMS,CA,"Indio-Cathedral City, CA",Los Angeles,SCAG,Southern California Association of Governments
90086,City of Riverside,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
90088,Napa Valley Transportation Authority,NAPA,CA,"Napa, CA",Bay Area,MTC,Metropolitan Transportation Commission
90089,County of Sonoma ,SANTA ROSA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission
90090,Yolo County Transportation District,WOODLAND,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90092,"City of Fairfield, California",FAIRFIELD,CA,"Fairfield, CA",Bay Area,MTC,Metropolitan Transportation Commission
90094,Metropolitan Transportation Commission,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90095,San Diego Association of Governments,SAN DIEGO,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90119,City of Laguna Beach,Laguna Beach,CA,"Mission Viejo-Lake Forest-San Clemente, CA",Los Angeles,SCAG,Southern California Association of Governments
90121,Antelope Valley Transit Authority,LANCASTER,CA,"Lancaster-Palmdale, CA",Los Angeles,SCAG,Southern California Association of Governments
90129,City of Mesa,Mesa,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90131,City of Scottsdale ,SCOTTSDALE,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90132,Maricopa County Special Transportation Services,Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90134,Peninsula Corridor Joint Powers Board,SAN CARLOS,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90135,"Sun Cities Area Transit System, Inc.",Sun City,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90136,Regional Public Transportation Authority,PHOENIX,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90137,Surprise Dial-A-Ride Transit System,Surprise,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90140,City of Peoria ,PEORIA,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90142,"University of California, Davis",DAVIS,CA,"Davis, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90144,Livermore / Amador Valley Transit Authority,LIVERMORE,CA,"Concord, CA",Bay Area,MTC,Metropolitan Transportation Commission
90146,Foothill Transit,WEST COVINA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90147,City of Los Angeles,LOS ANGELES,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90148,Victor Valley Transit Authority,HESPERIA,CA,"Victorville-Hesperia, CA",Los Angeles,SCAG,Southern California Association of Governments
90150,City of Alameda Ferry Services,Alameda,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90151,Southern California Regional Rail Authority,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90154,Los Angeles County Metropolitan Transportation Authority ,LOS ANGELES,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90155,City of Vacaville,VACAVILLE,CA,"Vacaville, CA",Bay Area,MTC,Metropolitan Transportation Commission
90157,Access Services,EL MONTE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90157,Access Services  ,EL MONTE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90159,Western Contra Costa Transit Authority,Pinole,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90161,City of Union City,UNION CITY,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90162,The Eastern Contra Costa Transit Authority,ANTIOCH,CA,"Antioch, CA",Bay Area,MTC,Metropolitan Transportation Commission
90164,Ventura County Transportation Commission,Camarillo,CA,"Oxnard, CA",Los Angeles,SCAG,Southern California Association of Governments
90165,City of Thousand Oaks,THOUSAND OAKS,CA,"Thousand Oaks, CA",Los Angeles,SCAG,Southern California Association of Governments
90166,LACMTA - Small Operators,Los Angeles,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90168,City of Roseville,ROSEVILLE,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90169,"vRide, Inc. - Valley Metro",Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90170,ATC / Vancom,San Francisco,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90171,City of Santa Clarita,SANTA CLARITA,CA,"Santa Clarita, CA",Los Angeles,SCAG,Southern California Association of Governments
90172,City of Tempe Transit Division - dba Valley Metro,Tempe,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90174,City of Benicia,Benicia,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission
90178,Laidlaw Transit Services,El Monte,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90179,Ryder/ATE,West Covina,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90185,MTS Contract Services,San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90186,San Francisco Paratransit,San Francisco,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90188,County of San Diego Transit System,San Diego,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90189,National City Transit,National City,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90193,Chula Vista Transit,Chula Vista,CA,"San Diego, CA",San Diego,SANDAG,San Diego Association of Governments
90196,County of Placer,AUBURN,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90205,City of Elk Grove,ELK GROVE,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90209,"Valley Metro Rail, Inc.",Phoenix,AZ,"Phoenix-Mesa, AZ",Phoenix,MAG,Maricopa Association of Governments
90211,Anaheim Transportation Network,Anaheim,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90212,Imperial Valley Transit,El Centro,CA,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments
90213,City of Petaluma,PETALUMA,CA,"Petaluma, CA",Bay Area,MTC,Metropolitan Transportation Commission
90214,City of Redondo Beach,REDONDO BEACH,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90216,County of Sacramento Municipal Services Agency Department of Transportation,SACRAMENTO,CA,Non-UZA,Sacramento,SACOG,Sacramento Area Council of Governments
90218,Riverside County Transportation Commission,RIVERSIDE,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
90220,City of Folsom,Folsom,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90223,"Paratransit, Inc.",SACRAMENTO,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90224,"Paratransit, Inc. CTSA",Sacramento,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90225,San Francisco Bay Area Water Emergency Transportation Authority,SAN FRANCISCO,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90226,Imperial County Transportation Commission,EL CENTRO,CA,"El Centro-Calexico, CA",Los Angeles,SCAG,Southern California Association of Governments
90229,El Dorado County Transit Authority,DIAMOND SPRINGS,CA,"Sacramento, CA",Sacramento,SACOG,Sacramento Area Council of Governments
90232,Solano County Transit,VALLEJO,CA,"Vallejo, CA",Bay Area,MTC,Metropolitan Transportation Commission
90234,Marin County Transit District,SAN RAFAEL,CA,"San Francisco-Oakland, CA",Bay Area,MTC,Metropolitan Transportation Commission
90296,City of Claremont,CLAREMONT,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
90299,Sonoma-Marin Area Rail Transit District,PETALUMA,CA,"Santa Rosa, CA",Bay Area,MTC,Metropolitan Transportation Commission
90302,San Bernardino County Transportation Authority,SAN BERNARDINO,CA,"Riverside-San Bernardino, CA",Los Angeles,SCAG,Southern California Association of Governments
99423,City of Glendale,GLENDALE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
99424,City of Pasadena,Pasadena,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
99425,Pomona Valley Transportation Authority,LA VERNE,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,SCAG,Southern California Association of Governments
